Time_stamp,Temperature_value,Humidity_value
"2025-03-05 15:25:10",28.4,21.4
"2025-03-05 15:25:12",25.3,60.3
"2025-03-05 15:25:30",28.4,21.2
"2025-03-05 15:25:49",28.4,21.9
"2025-03-05 15:25:54",25.3,60.3
"2025-03-05 15:26:08",28.3,21.4
"2025-03-05 15:26:30",28.4,21.5
"2025-03-05 15:26:51",28.4,21.5
"2025-03-05 15:27:11",28.4,21.6
"2025-03-05 15:27:29",28.3,21.5
"2025-03-05 15:27:49",28.4,21.3
"2025-03-05 15:28:06",28.3,21.4
"2025-03-05 15:28:21",25.3,60.3
"2025-03-05 15:28:28",28.3,21.1
"2025-03-05 15:28:43",28.4,21.5
"2025-03-05 15:29:04",28.3,21.4
"2025-03-05 15:29:24",28.4,21.6
"2025-03-05 15:29:44",28.4,21.4
"2025-03-05 15:30:05",28.4,22
"2025-03-05 15:30:25",28.4,21.4
"2025-03-05 15:30:45",28.4,21.4
"2025-03-05 15:31:06",28.4,21.7
"2025-03-05 15:31:26",28.4,21.5
"2025-03-05 15:31:47",28.4,22
"2025-03-05 15:32:07",28.3,21.5
"2025-03-05 15:32:27",28.4,21.2
"2025-03-05 15:32:47",28.4,22
"2025-03-05 15:33:07",28.4,21.4
"2025-03-05 15:33:27",28.3,21.8
"2025-03-05 15:33:47",28.4,22
"2025-03-05 15:34:08",28.4,21.5
"2025-03-05 15:34:24",28.4,22
"2025-03-05 15:34:42",28.5,21.9
"2025-03-05 15:35:00",28.5,22.4
"2025-03-05 15:35:19",28.4,21.5
"2025-03-05 15:35:37",28.4,21.8
"2025-03-05 15:35:53",28.4,21.3
"2025-03-05 15:36:11",28.5,22
"2025-03-05 15:36:29",28.4,21.7
"2025-03-05 15:36:47",28.5,21.4
"2025-03-05 15:37:07",28.5,21.6
"2025-03-05 15:37:27",28.4,21.8
"2025-03-05 15:40:35",28.4,21.7
"2025-03-05 15:40:51",28.4,21.5
"2025-03-05 15:41:12",28.4,21.6
"2025-03-05 15:41:31",28.4,21.4
"2025-03-05 15:41:51",28.5,21.5
"2025-03-05 15:42:12",28.4,21.8
"2025-03-05 15:46:38",28.5,21.5
"2025-03-05 15:46:58",28.6,21.4
"2025-03-05 15:47:16",28.6,21
"2025-03-05 15:47:36",28.6,21.6
"2025-03-05 15:47:56",28.7,21.9
"2025-03-05 15:48:16",28.6,21.5
"2025-03-05 15:48:40",28.6,21.7
"2025-03-05 15:49:01",28.7,22.5
"2025-03-05 15:49:22",28.6,21.8
"2025-03-05 15:49:46",28.7,22
"2025-03-05 15:50:07",28.7,21.8
"2025-03-05 15:50:29",28.7,21.8
"2025-03-05 15:50:51",28.8,21.4
"2025-03-05 15:51:09",28.7,21.4
"2025-03-05 15:51:30",28.7,21.4
"2025-03-05 15:51:52",28.7,21.6
"2025-03-05 15:52:12",28.8,21.5
"2025-03-05 15:52:34",28.7,22.9
"2025-03-05 15:52:56",28.8,21.8
"2025-03-05 15:53:18",28.7,21.7
"2025-03-05 15:53:43",28.8,21.9
"2025-03-05 15:54:01",28.7,21.8
"2025-03-05 15:54:23",28.7,21.8
"2025-03-05 15:54:45",28.7,22.1
"2025-03-05 15:55:07",28.7,21.9
"2025-03-05 15:55:29",28.6,22.1
"2025-03-05 15:56:27",28.7,21.6
"2025-03-05 15:56:47",28.7,22
"2025-03-05 15:57:07",28.7,21.2
"2025-03-05 15:57:27",28.7,20.9
"2025-03-05 15:57:47",28.7,20.8
"2025-03-05 15:58:07",28.6,20.5
"2025-03-05 15:58:27",28.6,20.9
"2025-03-05 15:58:46",28.5,20.5
"2025-03-05 15:59:06",28.5,20.3
"2025-03-05 15:59:26",28.5,20.5
"2025-03-05 15:59:45",28.5,20.4
"2025-03-05 16:00:05",28.5,20.9
"2025-03-05 16:00:25",28.4,19.6
"2025-03-05 16:01:06",28.4,19.5
"2025-03-05 16:01:26",28.3,20.4
"2025-03-05 16:01:46",28.3,20
"2025-03-05 16:02:08",28.3,20.1
"2025-03-05 16:02:28",28.4,20.8
"2025-03-05 16:02:47",28.3,20.2
"2025-03-05 16:03:07",28.4,20.1
"2025-03-05 16:03:27",28.3,20.2
"2025-03-05 16:03:47",28.5,20.5
"2025-03-05 16:04:06",28.5,20.1
"2025-03-05 16:04:23",28.5,19.9
"2025-03-05 16:04:40",28.5,20.6
"2025-03-05 16:05:00",28.4,20.2
"2025-03-05 16:05:19",28.5,19.9
"2025-03-05 16:05:39",28.4,20
"2025-03-05 16:05:59",28.4,19.8
"2025-03-05 16:06:19",28.4,19.7
"2025-03-05 16:06:39",28.4,20
"2025-03-05 16:06:58",28.4,19.7
"2025-03-05 16:07:18",28.4,19.7
"2025-03-05 16:07:38",28.5,19.5
"2025-03-05 16:07:58",28.4,20
"2025-03-05 16:08:19",28.4,19.5
"2025-03-05 16:08:38",28.4,19.5
"2025-03-05 16:08:58",28.4,19.9
"2025-03-05 16:53:58",28.5,20.9
"2025-03-05 16:54:17",28.4,21.6
"2025-03-05 16:54:36",28.5,23.9
"2025-03-05 16:54:58",28.6,20.3
"2025-03-05 16:55:17",28.5,19.2
"2025-03-05 16:55:37",28.5,19
"2025-03-05 16:55:57",28.6,18.9
"2025-03-05 16:56:17",28.5,19
"2025-03-05 16:56:37",28.5,19
"2025-03-05 16:56:55",28.5,19
"2025-03-05 16:57:14",28.4,19.3
"2025-03-05 16:57:33",28.3,19.3
"2025-03-05 16:57:52",28.3,19.2
